file,object,mjd,date,fluxring,rmsresi,peakflar,anglflar,xcen,ycen
NIRPS_2024-10-25T06_17_02_083_guiding_analysis.fits,TOI-270,60608.2618296656,2024-10-25T06:23:50,3704099.350266616,65.74361160497402,0.006304747383122395,90,363.1404092169064,220.49783595274872
NIRPS_2024-10-25T06_23_54_503_guiding_analysis.fits,TOI-270,60608.266603044,2024-10-25T06:30:43,3949785.7763256487,67.86166108133457,0.003889659660245599,60,363.13832200226364,220.48337342975606
NIRPS_2024-10-25T06_30_46_923_guiding_analysis.fits,TOI-270,60608.2713764209,2024-10-25T06:37:35,4049308.198898456,68.79852878585845,0.004677529351859172,210,363.21608924305633,220.40864680031365
NIRPS_2024-10-25T06_37_39_343_guiding_analysis.fits,TOI-270,60608.2761497965,2024-10-25T06:44:28,3294075.1086849263,70.57449303368702,0.007233701100825264,90,363.14524249251144,220.31217136482934
NIRPS_2024-10-25T06_44_31_762_guiding_analysis.fits,TOI-270,60608.2809231721,2024-10-25T06:51:20,2855527.766570427,57.90374938424727,0.004995544375412489,270,363.02992661972814,220.34115997974925
NIRPS_2024-10-25T06_51_24_182_guiding_analysis.fits,TOI-270,60608.2856965458,2024-10-25T06:58:13,3169694.7884865575,64.89160816072162,0.007324354593950458,270,363.0552075048331,220.1679639439911
NIRPS_2024-10-25T07_03_45_466_guiding_analysis.fits,TOI-210,60608.2942762256,2024-10-25T07:18:50,718485.1235807688,22.337935904888226,0.005791697472449281,270,363.23997920419885,220.49449915281153
NIRPS_2024-10-25T07_18_53_902_guiding_analysis.fits,TOI-210,60608.3047905306,2024-10-25T07:33:58,738180.1417085635,21.340437565575947,0.005228881479321848,90,363.25653271658905,220.4113971525225
NIRPS_2025-04-01T08_22_14_286_guiding_analysis.fits,GJ682,60766.348776458,2025-04-01T08:25:42,734613.1677044472,16.824841037789454,0.015250639419722331,60,362.6258813771741,221.05415733174232
NIRPS_2025-07-28T23_07_40_654_guiding_analysis.fits,TOI-782,60884.963664985,2025-07-28T23:22:45,764313.6426062468,105.44448237985651,0.011701636719988794,90,360.9786965545293,218.93472654048145
NIRPS_2025-07-29T05_40_14_310_guiding_analysis.fits,J2046+06,60885.2362767367,2025-07-29T05:55:19,1483458.9357408704,69.0617205048405,0.024764078718853295,60,361.26406645969394,220.25191990503168
NIRPS_2026-01-06T03_06_25_166_guiding_analysis.fits,HAT-P-30,61046.1294579429,2026-01-06T03:16:34,1822463.1454874356,93.37822121591626,0.04589908433357975,283.6,361.5168349798564,223.08778651032333
NIRPS_2026-02-21T02_07_06_372_guiding_analysis.fits,J0418-53,61092.0882681987,2026-02-21T02:17:15,1331194.89356968,27.469216890848298,0.007007605493736607,0,361.238486312155,218.86759954474843
NIRPS_2026-02-21T03_04_36_553_guiding_analysis.fits,TOI-206,61092.1282008432,2026-02-21T03:19:41,716877.7696869542,23.173194608922888,0.010329908171026152,150,361.19027623669683,218.75955352054746
NIRPS_2026-02-21T03_19_44_991_guiding_analysis.fits,TOI-206,61092.1387151659,2026-02-21T03:34:49,814146.9373138894,24.821723600034474,0.016428550891322384,330,361.149060484308,218.84885697445452
NIRPS_2026-02-21T07_13_06_231_guiding_analysis.fits,TWA7,61092.3007665614,2026-02-21T07:28:11,1320848.3201603552,92.70752790438128,0.07814076546175466,330,361.0417851668273,218.93804578135655
NIRPS_2026-03-02T05_05_05_394_guiding_analysis.fits,TOI-782,61101.2118679906,2026-03-02T05:20:10,857050.1119042523,39.21466031044298,0.028852892313024528,69.7,361.77316668002504,221.31690272900613
NIRPS_2026-03-02T05_05_05_394_guiding_analysis_guiding_analysis.fits,TOI-782,61101.2118679906,2026-03-02T05:20:10,857050.1119042523,39.21466031044298,0.028852892313024535,69.7,361.77316668002504,221.31690272900613
NIRPS_2026-03-02T05_20_13_832_guiding_analysis.fits,TOI-782,61101.2223823156,2026-03-02T05:35:18,859736.46434609,30.284239409343886,0.018924216396546695,74.9,361.73481152319084,221.252207399494
NIRPS_2026-03-02T05_20_13_832_guiding_analysis_guiding_analysis.fits,TOI-782,61101.2223823156,2026-03-02T05:35:18,859736.46434609,30.284239409343886,0.018924216396546695,74.9,361.73481152319084,221.252207399494
